id,created_at,text,,,,,,,,,,
1.50E+18,2022-03-12T02:20:13.000Z,North Korea Rebuilds Nuclear Testing Site After 2018 Collapse https://t.co/Acz3deCSnK,,,,,,,,,,
1.50E+18,2022-03-12T02:00:17.000Z,Democrat Spending Bill Contains 'Serious Expansion of Federal Gun Control': Gun Rights Group https://t.co/MxefiLVzuC,,,,,,,,,,
1.50E+18,2022-03-12T01:40:14.000Z,Russia Soars Past Iran &amp; Syria To Become World's 'Most-Sanctioned' Country https://t.co/byAauKzCCy,,,,,,,,,,
1.50E+18,2022-03-12T01:20:13.000Z,The Next Terror Wave Looms https://t.co/OCTNPmUxSV,,,,,,,,,,
1.50E+18,2022-03-12T01:00:15.000Z,"Democrats Would Lose Control Of Congress If Election Were Held Today, New Polls Show https://t.co/DvB15dqqwZ",,,,,,,,,,
1.50E+18,2022-03-12T00:40:15.000Z,"Russian Invasion Of Ukraine Is 'Crime Against Humanity,' Has To End Soon: Trump https://t.co/XJY2E4tFOo",,,,,,,,,,
1.50E+18,2022-03-12T00:20:15.000Z,American Police Have So Much Gear That They're Sending It To Ukraine https://t.co/nG6WvarbXN,,,,,,,,,,
1.50E+18,2022-03-12T00:02:29.000Z,Word on the street Glencore London lost 700m this week,,,,,,,,,,
1.50E+18,2022-03-12T00:00:15.000Z,Sperry: Ukraine Worked With Democrats Against Trump In 2016 To Stop Putin -- And It Backfired Badly https://t.co/14b9SADmYn,,,,,,,,,,
1.50E+18,2022-03-11T23:40:14.000Z,Putin Spokesman Says Russian Economy in 'Shock' https://t.co/G3Vh6PvfB6,,,,,,,,,,
1.50E+18,2022-03-11T23:20:13.000Z,"Juror No. 50 Pleads The Fifth, Is Granted Immunity In Maxwell Trial https://t.co/L8RcMifWhD",,,,,,,,,,
1.50E+18,2022-03-11T23:15:22.000Z,So in two weeks https://t.co/BXjv6LxVDT,,,,,,,,,,
1.50E+18,2022-03-11T23:01:38.000Z,math is hard https://t.co/fOZ2Ti5coB,,,,,,,,,,
1.50E+18,2022-03-11T23:00:15.000Z,China's No. 2 Leader Li Keqiang Announces Plans To Step Down https://t.co/H6aaLCaheZ,,,,,,,,,,
1.50E+18,2022-03-11T22:58:10.000Z,non-suicidal protective custody https://t.co/OSHbdocRNr,,,,,,,,,,
1.50E+18,2022-03-11T22:56:05.000Z,"Yesterday Goldman said odds of a recession are 20-35%. 
=======
,id,created_at,text,author_id,tokens
0,1502706055356289029,2022-03-12T18:00:17.000Z,Italian Police Seize World's Largest Sailing Yacht From Russian Oligarch  https://t.co/TXqJJNejcI,18856867,['italian'", 'world', 'largest', 'sailing', 'yacht', 'from', 'russian', 'oligarch'," 'httpstcotxqjjnejci']""",,
1.50E+18,2022-03-12T17:30:17.000Z,Macleod: The End Of Fiat Is Hoving Into View... https://t.co/cM8c9G5dp9,,,,,,,,,,
1.50E+18,2022-03-12T17:00:16.000Z,2.5 Million Now Seeking Refuge From Russia's Invasion https://t.co/Lw8Ad3lokq,,,,,,,,,,
1.50E+18,2022-03-12T16:57:32.000Z,Cohen??s Point72 to Redeem $750 Million From Hedge Fund Melvin,,,,,,,,,,
1.50E+18,2022-03-12T16:55:18.000Z,*RUSSIA CENTRAL BANK EXTENDS STOCK TRADING HALT UNTIL MARCH 18,,,,,,,,,,
1.50E+18,2022-03-12T16:30:19.000Z,Global Diesel Shortage Raises Risk Of Even Greater Oil Price Spike https://t.co/rcuFXF2DvO,,,,,,,,,,
1.50E+18,2022-03-12T16:01:14.000Z,UN Condemns Meta For Allowing 'Hate Speech' Against Russia?? https://t.co/10wisvvjgO,,,,,,,,,,
1.50E+18,2022-03-12T15:30:16.000Z,"Russia Threatens Attack On NATO Weapons Shipments To Ukraine: ""Legitimate Targets"" https://t.co/Mx3a18o9Dx",,,,,,,,,,
1.50E+18,2022-03-12T15:27:54.000Z,"FRENCH PRESIDENCY OFFICIAL SAYS, IN CALL WITH MACRON, SCHOLZ, THAT RUSSIA'S PUTIN DID NOT APPEAR READY TO END WAR",,,,,,,,,,
1.50E+18,2022-03-12T04:00:14.000Z,Joe Biden??s Electric Car Plans Support The World??s Worst Humanitarian Abuses https://t.co/XVM13bmVQz,,,,,,,,,,
1.50E+18,2022-03-11T22:56:05.000Z,"Yesterday Goldman said odds of a recession are 20-35%. 
>>>>>>> 80d584e8fd642d834b3c5132b5907d3b3e86bf52

Today it is 40%.

Reality: we are now in it. https://t.co/PmMhrB67SZ",,,,,,,,,,
1.50E+18,2022-03-11T22:41:24.000Z,Wall Street Stunned By Zoltan Pozsar's Latest Prediction Of What Comes Next https://t.co/HEA6RuWhyg,,,,,,,,,,
1.50E+18,2022-03-11T22:41:02.000Z,"Off by one day.
=======
38,1502414415215345668,2022-03-11T22:41:24.000Z,Wall Street Stunned By Zoltan Pozsar's Latest Prediction Of What Comes Next https://t.co/HEA6RuWhyg,18856867,['wall'", 'by', 'zoltan', 'pozsars', 'latest', 'prediction', 'of', 'what', 'come', 'next'," 'httpstcohearuwhyg']"""
1.50E+18,2022-03-11T22:41:02.000Z,"Off by one day.
>>>>>>> 80d584e8fd642d834b3c5132b5907d3b3e86bf52

From Feb 12: ""Goldman Capitulates, Cuts S&amp;P Price Target To 4,900, Warns Of ""Recession Downside"" To 3,600"" 

https://t.co/WytqtkBX8W https://t.co/aoRxskS5eN",,,,,,,,,,
1.50E+18,2022-03-11T22:30:35.000Z,"*GOLDMAN CUTS S&amp;P 500 TARGET TO 4,700 FROM 4,900 FOR END OF 2022",,,,,,,,,,
1.50E+18,2022-03-11T22:20:14.000Z,"Biden Blames Inflation On Putin, Big Oil And The Pandemic https://t.co/5qX4vNKpu2",,,,,,,,,,
1.50E+18,2022-03-11T22:00:14.000Z,"Illinois Illegally Denied Elections Group Access To Voter Records, Federal Court Rules https://t.co/NEFDNrcHDk",,,,,,,,,,
1.50E+18,2022-03-11T21:40:13.000Z,UN Warns Ukraine War Could Spark 20% Surge In Global Food Prices?? https://t.co/gHH24LwRNj,,,,,,,,,,
1.50E+18,2022-03-11T21:39:23.000Z,Zoltan just became non-grata on every establishment outlet... and a bitcoin maxi https://t.co/3u1Ilb3vmi,,,,,,,,,,
1.50E+18,2022-03-11T21:20:13.000Z,Ferguson: The Fates Of Ukraine And Putin Turn On 7 Forces Of History https://t.co/p2TGwW65Be,,,,,,,,,,
1.50E+18,2022-03-11T21:07:33.000Z,*DIDI SHARES CLOSE DOWN 44% IN BIGGEST DROP ON RECORD,,,,,,,,,,
1.50E+18,2022-03-11T21:04:46.000Z,"*U.S. TREASURY SANTIONS RUSSIAN POLITICAL LEADERS, OLIGARCHS",,,,,,,,,,
1.50E+18,2022-03-11T21:01:12.000Z,"Bonds, Stocks, &amp; Commodities Crushed Because 'Putin' https://t.co/aPpoTRcsqO",,,,,,,,,,
1.50E+18,2022-03-11T21:00:49.000Z,The only way to crush enough commodity demand is to force a recession https://t.co/JRespFC3HO,,,,,,,,,,
1.50E+18,2022-03-11T21:00:13.000Z,https://t.co/oZzS7vhkBk,,,,,,,,,,
1.50E+18,2022-03-11T20:56:01.000Z,"*NASDAQ GOLDEN DRAGON CHINA INDEX EXTENDS DECLINE, DOWN 10%",,,,,,,,,,
1.50E+18,2022-03-11T20:54:52.000Z,*U.S. TREASURY'S OFAC ANNOUNCES N.KOREA-RELATED ACTIONS,,,,,,,,,,
1.50E+18,2022-03-11T20:46:17.000Z,ES down 120 from HOD,,,,,,,,,,
1.50E+18,2022-03-11T20:46:12.000Z,Facebook Defends Allowing Calls For Russian Death As Kremlin Brands Meta 'Extremist Organization' https://t.co/uVvFIagS5c,,,,,,,,,,
1.50E+18,2022-03-11T20:43:57.000Z,canaries https://t.co/3fGQSuoLHm,,,,,,,,,,
1.50E+18,2022-03-11T20:35:40.000Z,"*S&amp;P 500 DROPS TO A SESSION LOW, DOWN 1%",,,,,,,,,,
1.50E+18,2022-03-11T20:25:13.000Z,Major 'Bomb Cyclone' Expected To Bring Heavy Snow And Wind To Eastern US https://t.co/vgn56eJv32,,,,,,,,,,
1.50E+18,2022-03-11T20:05:13.000Z,"Shanghai Shutters Schools, Builds Hospitals As COVID Comes Roaring Back Across China https://t.co/2QLK6lsh31",,,,,,,,,,
1.50E+18,2022-03-11T19:57:02.000Z,"LEADERS OF RUSSIA AND BELARUS AGREED THAT IN TURN, BELARUS WILL SUPPLY RUSSIA WITH MODERN AGRICULTURAL TECHNOLOGY",,,,,,,,,,
1.50E+18,2022-03-11T19:55:11.000Z,DIDI -48%,,,,,,,,,,
1.50E+18,2022-03-11T19:53:48.000Z,"LEADERS OF RUSSIA AND BELARUS AGREED RUSSIA WILL SUPPLY MODERN MILITARY EQUIPMENT TO BELARUS, SAYS OFFICIAL BELARUS NEW AGENCY",,,,,,,,,,
1.50E+18,2022-03-11T19:47:11.000Z,"Goldman: ""The conglomeration of non-stop news is coalescing to create a fog that is difficult for investors to see through. Add to this the elevated volatility across assets and the uncertainty of policy response, and markets are presenting a particularly difficult environment.""",,,,,,,,,,
1.50E+18,2022-03-11T19:45:12.000Z,"When Pigs Fly: Congress Inserts Over 4,000 Pork Earmarks In Spending Bill https://t.co/IoxJcdVUab",,,,,,,,,,
1.50E+18,2022-03-11T19:27:16.000Z,*RUSSIAN RAILWAYS IS SAID TO PAY DOLLAR-BOND COUPON 10 DAYS LATE,,,,,,,,,,
1.50E+18,2022-03-11T19:25:12.000Z,"""Credit Is Cracking"" https://t.co/1f6DCTe83R",,,,,,,,,,
1.50E+18,2022-03-11T19:22:48.000Z,Disney Pausing Political Donations in Florida Pending Review,,,,,,,,,,
1.50E+18,2022-03-11T19:05:13.000Z,"""God Help Us"": The ""Death Knell"" For The Dollar Is Here, Metals Markets ""Are Breaking"" https://t.co/BPTBGgSjwk",,,,,,,,,,
1.50E+18,2022-03-11T18:45:12.000Z,Ukraine Says Russian Jets Fired At Ally Belarus In 'False Flag' Attempt https://t.co/2nmu0Z112a,,,,,,,,,,
1.50E+18,2022-03-11T18:44:39.000Z,many hedge fund pink slips today https://t.co/Vg9Y5SGyM9,,,,,,,,,,
1.50E+18,2022-03-11T18:32:26.000Z,"Several top executives are leaving Chobani as the yogurt maker puts plans for its initial public offering on hold: WSJ

Whoever said mgmt just wants to cash out",,,,,,,,,,
1.50E+18,2022-03-11T18:31:13.000Z,JPMorgan Emerges As Largest Counterparty To Chinese Tycoon's Massive Nickel Short Squeeze https://t.co/tz6nKTYyQy,,,,,,,,,,
1.50E+18,2022-03-11T18:17:03.000Z,*83 COUNTERPARTIES TAKE $1.558 TLN AT FED REVERSE REPO OP.,,,,,,,,,,
1.50E+18,2022-03-11T18:15:27.000Z,*SEC AWARDS $14M TO WHISTLEBLOWER WHO EXPOSED ONGOING FRAUD,,,,,,,,,,
1.50E+18,2022-03-11T18:12:26.000Z,"*BIDEN: MAKE NO MISTAKE, INFLATION IS LARGELY THE FAULT OF PUTIN",,,,,,,,,,
1.50E+18,2022-03-11T18:07:13.000Z,El Salvador Bitcoin-Backed Bond May Launch Next Week https://t.co/pgnCXRj9Eo,,,,,,,,,,
1.50E+18,2022-03-11T18:07:12.000Z,"If China gives Tsingshan a liquidity lifeline to fund its short squeeze (and unwind), does that mean that JPM will make billions on its nickel long (it is said to have exposure to a third of Tsingshan's 150,000 ton short).",,,,,,,,,,
1.50E+18,2022-03-11T18:04:53.000Z,*U.S. OIL RIG COUNT UP 8 TO 527 - BAKER HUGHES SAYS,,,,,,,,,,
1.50E+18,2022-03-11T17:54:41.000Z,"*BIDEN: THE MOMENT RUSSIAN MARKET OPENS, IT WILL BE DISBANDED",,,,,,,,,,
1.50E+18,2022-03-11T17:50:55.000Z,"*JPMORGAN FALLS TO SESSION LOWS, DOWN AS MUCH AS 1.2%",,,,,,,,,,
1.50E+18,2022-03-11T17:46:55.000Z,"That explains why JPM was rushing to bail it out - someone needs to make payment 

https://t.co/O8I4yQ4LFP https://t.co/tq8ZoLQurT",,,,,,,,,,
1.50E+18,2022-03-11T17:46:06.000Z,*JPMORGAN IS BIGGEST COUNTERPARTY FOR NICKEL TYCOON???S SHORT BETS,,,,,,,,,,
1.50E+18,2022-03-11T17:40:58.000Z,*WHO EXPERTS DISCUSSING HOW TO DEFINE END OF COVID EMERGENCY,,,,,,,,,,
1.50E+18,2022-03-11T17:34:06.000Z,*CHINA'S UN ENVOY REJECTS U.S. CHARGE OF BACKING DISINFORMATION,,,,,,,,,,
1.50E+18,2022-03-11T17:26:13.000Z,Drone From Ukraine War Travels Over Multiple NATO Countries Before Crashing In Croatia https://t.co/6qSqsVjkrs,,,,,,,,,,
1.50E+18,2022-03-11T17:19:54.000Z,biggest ever outflow from European equities https://t.co/z9lMharWtA,,,,,,,,,,
1.50E+18,2022-03-11T17:05:13.000Z,"Nomura: ""Fed Is Shorting S&amp;P Calls""-Dynamic Remains Locked-And-Loaded https://t.co/bA12ajyoMq",,,,,,,,,,
1.50E+18,2022-03-11T17:01:27.000Z,*KULEBA: COUNTRIES SHOULD CLOSE PORTS TO RUSSIAN VESSELS,,,,,,,,,,
1.50E+18,2022-03-11T16:58:14.000Z,"Ukraine Contradicts Putin, Says ""Zero Progress"" In Ceasefire Talks https://t.co/pU0NFvfZJr",,,,,,,,,,
1.50E+18,2022-03-11T16:56:41.000Z,"U.S. ENVOY TO U.N. SAYS U.S. BELIEVES THAT RUSSIA COULD USE CHEMICAL OR BIOLOGICAL AGENTS FOR ASSASSINATIONS AS PART OF A STAGED OR FALSE FLAG INCIDENT, OR TO SUPPORT MILITARY OPERATIONS",,,,,,,,,,
1.50E+18,2022-03-11T16:55:21.000Z,"2s10s 23bps, -5bps on the day",,,,,,,,,,
1.50E+18,2022-03-11T16:52:14.000Z,"U.S. ENVOY TO U.N. SAYS UKRAINE DOES NOT HAVE A BIOLOGICAL WEAPONS PROGRAM, AND THERE ARE NO UKRAINIAN BIOLOGICAL WEAPONS LABORATORIES SUPPORTED BY THE UNITED STATES",,,,,,,,,,
1.50E+18,2022-03-11T16:47:24.000Z,*KULEBA: UKRAINE'S NEUTRALITY MUST COME WITH SECURITY GUARANTEES,,,,,,,,,,
1.50E+18,2022-03-11T16:45:14.000Z,"Biden: NATO-Russia Conflict Would Be ""World War 3"", Warns Kremlin Of ""Severe Price"" If Chemical Weapons Used https://t.co/PR4MC7Kxj3",,,,,,,,,,
1.50E+18,2022-03-11T16:43:31.000Z,*KULEBA: TALKS DON'T IMPACT RUSSIA'S BEHAVIOR ON THE GROUND,,,,,,,,,,
1.50E+18,2022-03-11T16:42:30.000Z,*UKRAINE'S KULEBA: ZERO PROGRESS IN TALKS WITH RUSSIA THURSDAY,,,,,,,,,,
1.50E+18,2022-03-11T16:33:40.000Z,ES LOD,,,,,,,,,,
1.50E+18,2022-03-11T16:30:37.000Z,"Four VLCCs have been booked to load Russian Urals crude via ship-to-ship transfer at Skaw, Denmark, according to tanker fixtures and people familiar with the matter: BBG",,,,,,,,,,
1.50E+18,2022-03-11T16:30:12.000Z,"Bitcoin Slides On Report Russians Seek To Liquidate ""Billions In Crypto"" In UAE https://t.co/ENogq2gSOG",,,,,,,,,,
1.50E+18,2022-03-11T16:25:14.000Z,Only 18% Of Americans Say Their Wages Are Keeping Pace With Soaring Inflation https://t.co/5S4piOqTka,,,,,,,,,,
1.50E+18,2022-03-11T16:15:25.000Z,"RUSSIA AIRSTRIKES IN WESTERN UKRAINE, INCLUDING LUTSK, TARGETED AIRFIELDS - U.S. DEFENSE OFFICIAL

U.S. ASSESSES THAT RUSSIA WANTED TO ELIMINATE UKRAINE'S ABILITY TO USE THOSE AIRFIELDS, UNCLEAR THE EXTENT THEY WERE USED - U.S. OFFICIAL",,,,,,,,,,
1.50E+18,2022-03-11T16:15:05.000Z,WHITE HOUSE SAYS BIDEN'S EXECUTIVE ORDER BANS EXPORTATION SALE OR SUPPLY FROM THE UNITED STATES OF U.S. DOLLAR-DENOMINATED BANKNOTES TO RUSSIA,,,,,,,,,,
1.50E+18,2022-03-11T16:09:13.000Z,Russia Allows Chinese Banks To Buy Oil Without Letters Of Credit To Bypass Western Sanctions https://t.co/TAy43DLxuW,,,,,,,,,,
1.50E+18,2022-03-11T16:05:14.000Z,"As TSA Extends Mask Mandate, Rand Paul Vows To Force Vote To Scrap It https://t.co/sp1XJvyzkW",,,,,,,,,,
1.50E+18,2022-03-11T16:03:08.000Z,U.S. HOUSE SPEAKER PELOSI SAYS HOUSE WILL VOTE NEXT WEEK ON REVOKING PERMANENT NORMAL TRADE RELATIONS WITH RUSSIA,,,,,,,,,,
1.50E+18,2022-03-11T16:03:01.000Z,"*U.S. TREASURY 2-YEAR YIELD EXTENDS CLIMB, REACHING 1.75%",,,,,,,,,,
1.50E+18,2022-03-11T16:00:42.000Z,HEAD OF UKRAINE'S ENERGOATOM SAYS RUSSIANS OCCUPYING ZAPORIZHZHIA PLANT TOLD WORKERS THE PLANT BELONGS TO RUSSIA'S ROSATOM NOW,,,,,,,,,,
1.50E+18,2022-03-11T15:59:13.000Z,"Didi Shares Extend Collapse, Down 42% As China Tech Stocks Slide?? https://t.co/0JVgPw3JUC",,,,,,,,,,
1.50E+18,2022-03-11T15:46:21.000Z,"*DEMOCRATS PLAN TO DENY RUSSIAN OLIGARCHS, COMPANIES TAX BREAKS",,,,,,,,,,
1.50E+18,2022-03-11T17:46:06.000Z,*JPMORGAN IS BIGGEST COUNTERPARTY FOR NICKEL TYCOON??S SHORT BETS,,,,,,,,,,
